Entry,Gene Names,Protein families
P04395,alkA aidA b2068 JW2053,Alkylbase DNA glycosidase AlkA family
P04425,gshB gsh-II b2947 JW2914,Prokaryotic GSH synthase family
P04693,tyrB b4054 JW4014,Class-I pyridoxal-phosphate-dependent aminotransferase family
P04737,traA ECOK12F074,TraA family
P04805,gltX b2400 JW2395,"Class-I aminoacyl-tRNA synthetase family, Glutamate--tRNA ligase type 1 subfamily"
P04825,pepN b0932 JW0915,Peptidase M1 family
P04968,ilvA b3772 JW3745,Serine/threonine dehydratase family
P04982,rbsD b3748 JW5857,"RbsD / FucU family, RbsD subfamily"
P04983,rbsA b3749 JW3728,"ABC transporter superfamily, Ribose importer (TC 3.A.1.2.1) family"
P04993,recD hopE b2819 JW2787,RecD family
P04994,xseA b2509 JW2493,XseA family
P04995,sbcB cpeA xonA b2011 JW1993,
P05020,pyrC b1062 JW1049,"Metallo-dependent hydrolases superfamily, DHOase family, Class II DHOase subfamily"
P05041,pabB b1812 JW1801,Anthranilate synthase component I family
P05042,fumC b1611 JW1603,"Class-II fumarase/aspartase family, Fumarase subfamily"
P05050,alkB aidD b2212 JW2200,AlkB family
P05055,pnp b3164 JW5851,Polyribonucleotide nucleotidyltransferase family
P05194,aroD b1693 JW1683,Type-I 3-dehydroquinase family
P05458,ptrA ptr b2821 JW2789,Peptidase M16 family
P05523,mutM fpg b3635 JW3610,FPG family
P05637,apaH b0049 JW0048,Ap4A hydrolase family
P05704,trg b1421 JW1417,Methyl-accepting chemotaxis (MCP) protein family
P05791,ilvD b3771 JW5605,IlvD/Edd family
P05793,ilvC b3774 JW3747,Ketol-acid reductoisomerase family
P05804,uidA gurA gusA b1617 JW1609,Glycosyl hydrolase 2 family
P05824,recN radB b2616 JW5416,RecN family
P05825,fepA fep feuB b0584 JW5086,TonB-dependent receptor family
P05852,tsaD gcp ygjD b3064 JW3036,KAE1 / TsaD family
P06129,btuB bfe cer dcrC b3966 JW3938,"TonB-dependent receptor family, BtuB (TC 1.B.14.3.1) subfamily"
P06134,ada b2213 JW2201,MGMT family
P06136,ftsQ b0093 JW0091,"FtsQ/DivIB family, FtsQ subfamily"
P06149,dld b2133 JW2121,Quinone-dependent D-lactate dehydrogenase family
P06609,btuC b1711 JW1701,"Binding-protein-dependent transport system permease family, FecCD subfamily"
P06611,btuD b1709 JW1699,"ABC transporter superfamily, Vitamin B12 importer (TC 3.A.1.13.1) family"
P06612,topA supX b1274 JW1266,Type IA topoisomerase family
P06616,era rbaA sdgE b2566 JW2550,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Era GTPase family"
P06709,birA bioR dhbB b3973 JW3941,Biotin--protein ligase family
P06710,dnaX dnaZ dnaZX b0470 JW0459,DnaX/STICHEL family
P06715,gor b3500 JW3467,Class-I pyridine nucleotide-disulfide oxidoreductase family
P06721,metC b3008 JW2975,Trans-sulfuration enzymes family
P06722,mutH mutR prv b2831 JW2799,MutH family
P06959,aceF b0115 JW0111,2-oxoacid dehydrogenase family
P06960,argF b0273 JW0266,"Aspartate/ornithine carbamoyltransferase superfamily, OTCase family"
P06961,cca b3056 JW3028,"TRNA nucleotidyltransferase/poly(A) polymerase family, Bacterial CCA-adding enzyme type 1 subfamily"
P06968,dut dnaS sof b3640 JW3615,DUTPase family
P06971,fhuA tonA b0150 JW0146,TonB-dependent receptor family
P06972,fhuB b0153 JW0149,"Binding-protein-dependent transport system permease family, FecCD subfamily"
P06974,fliM cheC2 fla AII fla QII b1945 JW1929,FliM family
P06983,hemC popE b3805 JW5932,HMBS family
P06988,hisD b2020 JW2002,Histidinol dehydrogenase family
P06992,rsmA ksgA b0051 JW0050,"Class I-like SAM-binding methyltransferase superfamily, rRNA adenine N(6)-methyltransferase family, RsmA subfamily"
P06993,malT malA b3418 JW3381,MalT family
P06996,ompC meoA par b2215 JW2203,Gram-negative porin family
P06999,pfkB b1723 JW5280,Carbohydrate kinase PfkB family
P07001,pntA b1603 JW1595,AlaDH/PNT family
P07003,poxB b0871 JW0855,TPP enzyme family
P07004,proA b0243 JW0233,Gamma-glutamyl phosphate reductase family
P07012,prfB supK b2891 JW5847,Prokaryotic/mitochondrial release factor family
P07013,priB b4201 JW4159,PriB family
P07014,sdhB b0724 JW0714,Succinate dehydrogenase/fumarate reductase iron-sulfur protein family
P07017,tar cheM b1886 JW1875,Methyl-accepting chemotaxis (MCP) protein family
P07024,ushA b0480 JW0469,5'-nucleotidase family
P07102,appA b0980 JW0963,Histidine acid phosphatase family
P07117,putP b1015 JW1001,Sodium:solute symporter (SSF) (TC 2.A.21) family
P07118,valS b4258 JW4215,"Class-I aminoacyl-tRNA synthetase family, ValS type 1 subfamily"
P07330,cheB b1883 JW1872,CheB family
P07363,cheA b1888 JW1877,
P07395,pheT b1713 JW1703,"Phenylalanyl-tRNA synthetase beta subunit family, Type 1 subfamily"
P07464,lacA b0342 JW0333,Transferase hexapeptide repeat family
P07604,tyrR b1323 JW1316,
P07623,metAS metA b4013 JW3973,MetA family
P07639,aroB b3389 JW3352,"Sugar phosphate cyclases superfamily, Dehydroquinate synthase family"
P07648,recC b2822 JW2790,RecC family
P07649,truA asuC hisT leuK b2318 JW2315,TRNA pseudouridine synthase TruA family
P07658,fdhF b4079 JW4040,Prokaryotic molybdopterin-containing oxidoreductase family
P07821,fhuC b0151 JW0147,"ABC transporter superfamily, Iron (Fe3+)-hydroxamate importer (TC 3.A.1.14.7) family"
P07822,fhuD b0152 JW0148,Bacterial solute-binding protein 8 family
P07862,ddlB ddl b0092 JW0090,D-alanine--D-alanine ligase family
P07913,tdh b3616 JW3591,Zinc-containing alcohol dehydrogenase family
P08142,ilvB b3671 JW3646,TPP enzyme family
P08179,purN b2500 JW2485,GART family
P08191,fimH b4320 JW4283,Fimbrial protein family
P08192,folC dedC b2315 JW2312,Folylpolyglutamate synthase family
P08200,icd icdA icdE b1136 JW1122,Isocitrate and isopropylmalate dehydrogenases family
P08201,nirB b3365 JW3328,Nitrite and sulfite reductase 4Fe-4S domain family
P08203,araD b0061 JW0060,"Aldolase class II family, AraD/FucA subfamily"
P08244,pyrF b1281 JW1273,"OMP decarboxylase family, Type 1 subfamily"
P08312,pheS b1714 JW5277,"Class-II aminoacyl-tRNA synthetase family, Phe-tRNA synthetase alpha subunit type 1 subfamily"
P08337,mutT b0099 JW0097,Nudix hydrolase family
P08373,murB yijB b3972 JW3940,MurB family
P08394,recB ior rorA b2820 JW2788,"Helicase family, UvrD subfamily"
P08395,sppA b1766 JW1755,Peptidase S49 family
P08506,dacC b0839 JW0823,Peptidase S11 family
P08622,dnaJ groP b0015 JW0014,DnaJ family
P08660,lysC apk b4024 JW3984,Aspartokinase family
P08839,ptsI b2416 JW2409,PEP-utilizing enzyme family
P08956,hsdR hsr b4350 JW4313,HsdR family
P09029,purK b0522 JW0511,PurK/PurT family
P09030,xthA xth b1749 JW1738,DNA repair enzymes AP/ExoA family
P09099,xylB b3564 JW3536,FGGY kinase family
P09147,galE galD b0759 JW0742,NAD(P)-dependent epimerase/dehydratase family
P09148,galT galB b0758 JW0741,Galactose-1-phosphate uridylyltransferase type 1 family
P09152,narG bisD narC b1224 JW1215,Prokaryotic molybdopterin-containing oxidoreductase family
P09158,speE b0121 JW0117,Spermidine/spermine synthase family
P09169,ompT b0565 JW0554,Peptidase A26 family
P09323,nagE pstN b0679 JW0665,
P09348,motA flaJ b1890 JW1879,MotA family
P09372,grpE b2614 JW2594,GrpE family
P09373,pflB pfl b0903 JW0886,"Glycyl radical enzyme (GRE) family, PFL subfamily"
P09377,rhaS rhaC2 b3905 JW3876,
P09391,glpG b3424 JW5687,Peptidase S54 family
P09394,glpQ b2239 JW2233,Glycerophosphoryl diester phosphodiesterase family
P09546,putA poaA b1014 JW0999,Proline dehydrogenase family; Aldehyde dehydrogenase family
P09831,gltB aspB b3212 JW3179,Glutamate synthase family
P09832,gltD aspB b3213 JW3180,
P09835,uhpB b3668 JW3643,
P09980,rep b3778 JW5604,"Helicase family, UvrD subfamily"
P0A698,uvrA dinE b4058 JW4019,"ABC transporter superfamily, UvrA family"
P0A6A0,ubiB aarF yigQ yigR yigS b3835 JW3812,"ABC1 family, UbiB subfamily"
P0A6A3,ackA ack b2296 JW2293,Acetokinase family
P0A6A8,acpP b1094 JW1080,Acyl carrier protein (ACP) family
P0A6B4,alr b4053 JW4013,Alanine racemase family
P0A6B7,iscS nuvC yfhO yzzO b2530 JW2514,"Class-V pyridoxal-phosphate-dependent aminotransferase family, NifS/IscS subfamily"
P0A6C1,nfo b2159 JW2146,AP endonuclease 2 family
P0A6C8,argB b3959 JW5553,"Acetylglutamate kinase family, ArgB subfamily"
P0A6D0,argR xerA b3237 JW3206,ArgR family
P0A6D3,aroA b0908 JW0891,EPSP synthase family
P0A6D5,ydiB b1692 JW1682,Shikimate dehydrogenase family
P0A6D7,aroK b3390 JW5947,Shikimate kinase family
P0A6E1,aroL b0388 JW0379,"Shikimate kinase family, AroL subfamily"
P0A6E4,argG b3172 JW3140,"Argininosuccinate synthase family, Type 2 subfamily"
P0A6E6,atpC papG uncC b3731 JW3709,ATPase epsilon chain family
P0A6F1,carA pyrA b0032 JW0030,CarA family
P0A6F3,glpK b3926 JW3897,FGGY kinase family
P0A6F5,groEL groL mopA b4143 JW4103,Chaperonin (HSP60) family
P0A6F9,groES groS mopB b4142 JW4102,GroES chaperonin family
P0A6G7,clpP lopP b0437 JW0427,Peptidase S14 family
P0A6H1,clpX lopC b0438 JW0428,ClpX chaperone family
P0A6H5,hslU htpI b3931 JW3902,"ClpX chaperone family, HslU subfamily"
P0A6H8,clsA cls nov yciJ b1249 JW1241,"Phospholipase D family, Cardiolipin synthase subfamily, ClsA sub-subfamily"
P0A6I0,cmk mssA ycaF ycaG b0910 JW0893,"Cytidylate kinase family, Type 1 subfamily"
P0A6I6,coaD kdtB yicA b3634 JW3609,Bacterial CoaD family
P0A6J3,cysZ b2413 JW2406,CysZ family
P0A6J5,dadA dadR b1189 JW1178,DadA oxidoreductase family
P0A6K1,dapF b3809 JW5592,Diaminopimelate epimerase family
P0A6K3,def fms b3287 JW3248,Polypeptide deformylase family
P0A6K6,deoB drm thyR b4383 JW4346,Phosphopentomutase family
P0A6L0,deoC dra thyR b4381 JW4344,"DeoC/FbaB aldolase family, DeoC type 2 subfamily"
P0A6L2,dapA b2478 JW2463,DapA family
P0A6L4,nanA npl b3225 JW3194,"DapA family, NanA subfamily"
P0A6M2,dsbB roxB ycgA b1185 JW5182,DsbB family
P0A6M4,dtd yihZ b3887 JW3858,DTD family
P0A6M8,fusA far fus b3340 JW3302,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily"
P0A6N4,efp b4147 JW4107,Elongation factor P family
P0A6P1,tsf b0170 JW0165,EF-Ts family
P0A6P5,der engA yfgK b2511 JW5403,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, EngA (Der) GTPase family"
P0A6P9,eno b2779 JW2750,Enolase family
P0A6Q3,fabA b0954 JW0937,"Thioester dehydratase family, FabA subfamily"
P0A6Q6,fabZ sefA yaeA b0180 JW0175,"Thioester dehydratase family, FabZ subfamily"
P0A6R0,fabH b1091 JW1077,"Thiolase-like superfamily, FabH family"
P0A6R3,fis b3261 JW3229,Transcriptional regulatory Fis family
P0A6S5,ftsB ygbQ b2748 JW2718,FtsB family
P0A6S7,gpsA b3608 JW3583,NAD-dependent glycerol-3-phosphate dehydrogenase family
P0A6T1,pgi b4025 JW3985,GPI family
P0A6T3,galK galA b0757 JW0740,"GHMP kinase family, GalK subfamily"
P0A6T5,folE b2153 JW2140,GTP cyclohydrolase I family
P0A6U3,mnmG gidA trmF b3741 JW3719,MnmG family
P0A6U5,rsmG gidB b3740 JW3718,"Methyltransferase superfamily, RNA methyltransferase RsmG family"
P0A6V1,glgC b3430 JW3393,Bacterial/plant glucose-1-phosphate adenylyltransferase family
P0A6W3,mraY murX b0087 JW0085,"Glycosyltransferase 4 family, MraY subfamily"
P0A6X1,hemA b1210 JW1201,Glutamyl-tRNA reductase family
P0A6X3,hfq b4172 JW4130,Hfq family
P0A6X7,ihfA hid himA b1712 JW1702,Bacterial histone-like protein family
P0A6Y1,ihfB himD hip b0912 JW0895,Bacterial histone-like protein family
P0A6Y5,hslO yrfI b3401 JW5692,HSP33 family
P0A6Y8,dnaK groP grpF seg b0014 JW0013,Heat shock protein 70 family
P0A6Z1,hscA hsc b2526 JW2510,Heat shock protein 70 family
P0A6Z3,htpG b0473 JW0462,Heat shock protein 90 family
P0A6Z6,nikR yhhG b3481 JW3446,Transcriptional regulatory CopG/NikR family
P0A700,hypA b2726 JW2696,HypA/HybF family
P0A703,hybF b2991 JW5493,"HypA/HybF family, HybF subfamily"
P0A705,infB gicD ssyG b3168 JW3137,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily"
P0A707,infC fit srjA b1718 JW5829,IF-3 family
P0A710,yciB ispZ b1254 JW1246,YciB family
P0A712,kdgT b3909 JW5560,KdgT transporter family
P0A715,kdsA b1215 JW1206,KdsA family
P0A717,prs prsA b1207 JW1198,"Ribose-phosphate pyrophosphokinase family, Class I subfamily"
P0A720,tmk ycfG b1098 JW1084,Thymidylate kinase family
P0A722,lpxA b0181 JW0176,"Transferase hexapeptide repeat family, LpxA subfamily"
P0A725,lpxC asmB envA b0096 JW0094,LpxC family
P0A729,yceF b1087 JW5155,"Maf family, YceF subfamily"
P0A731,mgsA yccG b0963 JW5129,Methylglyoxal synthase family
P0A738,moaC chlA3 b0783 JW0766,MoaC family
P0A742,mscL yhdC b3291 JW3252,MscL family
P0A744,msrA pms b4219 JW4178,MsrA Met sulfoxide reductase family
P0A746,msrB yeaA b1778 JW1767,MsrB Met sulfoxide reductase family
P0A749,murA murZ b3189 JW3156,"EPSP synthase family, MurA subfamily"
P0A754,kefF yabF b0046 JW0045,"NAD(P)H dehydrogenase (quinone) family, KefF subfamily"
P0A759,nagB glmD b0678 JW0664,"Glucosamine/galactosamine-6-phosphate isomerase family, NagB subfamily"
P0A763,ndk b2518 JW2502,NDK family
P0A769,mntH yfeP b2392 JW2388,NRAMP family
P0A776,rppH nudH ygdP b2830 JW2798,"Nudix hydrolase family, RppH subfamily"
P0A784,orn o204a yjeR b4162 JW5740,Oligoribonuclease family
P0A786,pyrB b4245 JW4204,"Aspartate/ornithine carbamoyltransferase superfamily, ATCase family"
P0A790,panD b0131 JW0127,PanD family
P0A794,pdxJ b2564 JW2548,PNP synthase family
P0A796,pfkA b3916 JW3887,"Phosphofructokinase type A (PFKA) family, ATP-dependent PFK group I subfamily, Prokaryotic clade 'B1' sub-subfamily"
P0A799,pgk b2926 JW2893,Phosphoglycerate kinase family
P0A7A7,plsB b4041 JW4001,GPAT/DAPAT family
P0A7A9,ppa b4226 JW4185,PPase family
P0A7B1,ppk b2501 JW2486,Polyphosphate kinase 1 (PPK1) family
P0A7B3,nadK yfjB yfjE b2615 JW2596,NAD kinase family
P0A7B5,proB b0242 JW0232,Glutamate 5-kinase family
P0A7B8,hslV htpO yiiC b3932 JW3903,"Peptidase T1B family, HslV subfamily"
P0A7C2,lexA exrA spr tsl umuA b4043 JW4003,Peptidase S24 family
P0A7D1,pth rap b1204 JW1195,PTH family
P0A7D4,purA adeK b4177 JW4135,Adenylosuccinate synthetase family
P0A7E1,pyrD b0945 JW0928,"Dihydroorotate dehydrogenase family, Type 2 subfamily"
P0A7E3,pyrE b3642 JW3617,"Purine/pyrimidine phosphoribosyltransferase family, PyrE subfamily"
P0A7E5,pyrG b2780 JW2751,CTP synthase family
P0A7E9,pyrH smbA b0171 JW0166,UMP kinase family
P0A7F6,speD b0120 JW0116,"Prokaryotic AdoMetDC family, Type 2 subfamily"
P0A7F9,queA b0405 JW0395,QueA family
P0A7G2,rbfA P15B yhbB b3167 JW3136,RbfA family
P0A7G6,recA lexB recH rnmB tif umuB zab b2699 JW2669,RecA family
P0A7H0,recF uvrF b3700 JW3677,RecF family
P0A7I4,prfC miaD tos b4375 JW5873,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, PrfC subfamily"
P0A7I7,ribA b1277 JW1269,GTP cyclohydrolase II family
P0A7J0,ribB htrP b3041 JW3009,DHBP synthase family
P0A7J3,rplJ b3985 JW3948,Universal ribosomal protein uL10 family
P0A7J7,rplK relC b3983 JW3946,Universal ribosomal protein uL11 family
P0A7K2,rplL b3986 JW3949,Bacterial ribosomal protein bL12 family
P0A7K6,rplS b2606 JW2587,Bacterial ribosomal protein bL19 family
P0A7L0,rplA b3984 JW3947,Universal ribosomal protein uL1 family
P0A7L3,rplT pdzA b1716 JW1706,Bacterial ribosomal protein bL20 family
P0A7L8,rpmA b3185 JW3152,Bacterial ribosomal protein bL27 family
P0A7M2,rpmB b3637 JW3612,Bacterial ribosomal protein bL28 family
P0A7M6,rpmC b3312 JW3274,Universal ribosomal protein uL29 family
P0A7M9,rpmE b3936 JW3907,"Bacterial ribosomal protein bL31 family, Type A subfamily"
P0A7N4,rpmF b1089 JW1075,Bacterial ribosomal protein bL32 family
P0A7N9,rpmG b3636 JW3611,Bacterial ribosomal protein bL33 family
P0A7R1,rplI b4203 JW4161,Bacterial ribosomal protein bL9 family
P0A7R5,rpsJ nusE b3321 JW3283,Universal ribosomal protein uS10 family
P0A7R9,rpsK b3297 JW3259,Universal ribosomal protein uS11 family
P0A7S3,rpsL strA b3342 JW3304,Universal ribosomal protein uS12 family
P0A7S9,rpsM b3298 JW3260,Universal ribosomal protein uS13 family
P0A7T3,rpsP b2609 JW2590,Bacterial ribosomal protein bS16 family
P0A7T7,rpsR b4202 JW4160,Bacterial ribosomal protein bS18 family
P0A7U3,rpsS b3316 JW3278,Universal ribosomal protein uS19 family
P0A7U7,rpsT b0023 JW0022,Bacterial ribosomal protein bS20 family
P0A7V0,rpsB b0169 JW0164,Universal ribosomal protein uS2 family
P0A7V3,rpsC b3314 JW3276,Universal ribosomal protein uS3 family
P0A7V8,rpsD ramA b3296 JW3258,Universal ribosomal protein uS4 family
P0A7W1,rpsE spc b3303 JW3265,Universal ribosomal protein uS5 family
P0A7W7,rpsH b3306 JW3268,Universal ribosomal protein uS8 family
P0A7X3,rpsI b3230 JW3199,Universal ribosomal protein uS9 family
P0A7X6,rimM yfjA b2608 JW5413,RimM family
P0A7Y0,rnc b2567 JW2551,Ribonuclease III family
P0A7Y4,rnhA dasF herA rnh sdrA b0214 JW0204,RNase H family
P0A7Z0,rpiA ygfC b2914 JW5475,Ribose 5-phosphate isomerase family
P0A7Z4,rpoA pez phs sez b3295 JW3257,RNA polymerase alpha chain family
P0A800,rpoZ b3649 JW3624,RNA polymerase subunit omega family
P0A809,ruvA b1861 JW1850,RuvA family
P0A812,ruvB b1860 JW1849,RuvB family
P0A814,ruvC b1863 JW1852,RuvC family
P0A817,metK metX b2942 JW2909,AdoMet synthase family
P0A821,selA fdhA b3591 JW3564,SelA family
P0A825,glyA b2551 JW2535,SHMT family
P0A830,dctA b3528 JW3496,Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family
P0A832,smpB smqB b2620 JW2601,SmpB family
P0A836,sucC b0728 JW0717,Succinate/malate CoA ligase beta subunit family
P0A840,surE ygbC b2744 JW2714,SurE nucleotidase family
P0A847,tgt b0406 JW0396,Queuine tRNA-ribosyltransferase family
P0A850,tig b0436 JW0426,"FKBP-type PPIase family, Tig subfamily"
P0A853,tnaA ind b3708 JW3686,Beta-eliminating lyase family
P0A855,tolB b0740 JW5100,TolB family
P0A858,tpiA tpi b3919 JW3890,Triosephosphate isomerase family
P0A862,tpx yzzJ b1324 JW1317,"Peroxiredoxin family, Tpx subfamily"
P0A870,talB yaaK b0008 JW0007,"Transaldolase family, Type 1 subfamily"
P0A873,trmD b2607 JW2588,RNA methyltransferase TrmD family
P0A879,trpB b1261 JW1253,TrpB family
P0A884,thyA b2827 JW2795,"Thymidylate synthase family, Bacterial-type ThyA subfamily"
P0A887,ubiE yigO b3833 JW5581,"Class I-like SAM-binding methyltransferase superfamily, MenG/UbiE family"
P0A890,tusA sirA yhhP b3470 JW3435,Sulfur carrier protein TusA family
P0A894,rapZ yhbJ b3205 JW3172,"RapZ-like family, RapZ subfamily"
P0A898,ybeY b0659 JW0656,Endoribonuclease YbeY family
P0A8B2,smrB yfcN b2331 JW2328,SmrB family
P0A8D6,ymdB b1045 JW1032,YmdB family
P0A8F0,upp uraP b2498 JW2483,UPRTase family
P0A8F8,uvrB b0779 JW0762,UvrB family
P0A8G0,uvrC b1913 JW1898,UvrC family
P0A8G6,wrbA b1004 JW0989,WrbA family
P0A8G9,xseB yajE b0422 JW0412,XseB family
P0A8H3,zupT ygiE b3040 JW3008,"ZIP transporter (TC 2.A.5) family, ZupT subfamily"
P0A8H6,yihI b3866 JW3837,YihI family
P0A8I1,yqgF ruvX b2949 JW2916,YqgF nuclease family
P0A8I5,trmB trmI yggH b2960 JW2927,"Class I-like SAM-binding methyltransferase superfamily, TrmB family"
P0A8I8,rlmH ybeA b0636 JW0631,RNA methyltransferase RlmH family
P0A8J2,dnaT b4362 JW4326,DnaT family
P0A8J8,rhlB mmrA b3780 JW3753,"DEAD box helicase family, RhlB subfamily"
P0A8K1,psd b4160 JW4121,"Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type I sub-subfamily"
P0A8L1,serS b0893 JW0876,"Class-II aminoacyl-tRNA synthetase family, Type-1 seryl-tRNA synthetase subfamily"
P0A8M0,asnS tss b0930 JW0913,Class-II aminoacyl-tRNA synthetase family
P0A8M3,thrS b1719 JW1709,Class-II aminoacyl-tRNA synthetase family
P0A8N0,matP ycbG b0956 JW0939,MatP family
P0A8N3,lysS asuD herC b2890 JW2858,Class-II aminoacyl-tRNA synthetase family
P0A8N5,lysU b4129 JW4090,Class-II aminoacyl-tRNA synthetase family
P0A8N7,epmA genX poxA yjeA b4155 JW4116,"Class-II aminoacyl-tRNA synthetase family, EpmA subfamily"
P0A8P6,xerC b3811 JW3784,"'phage' integrase family, XerC subfamily"
P0A8P8,xerD xprB b2894 JW2862,"'phage' integrase family, XerD subfamily"
P0A8Q0,frdC b4152 JW4113,FrdC family
P0A8Q3,frdD b4151 JW4112,FrdD family
P0A8R0,rraA menG yiiV b3929 JW3900,RraA family
P0A8S1,argP iciA b2916 JW2883,LysR transcriptional regulatory family
P0A8S9,flhD flbB b1892 JW1881,FlhD family
P0A8T7,rpoC tabB b3988 JW3951,RNA polymerase beta' chain family
P0A8V0,rbn elaC rnz b2268 JW2263,"RNase Z family, RNase BN subfamily"
P0A8V2,rpoB groN nitB rif ron stl stv tabD b3987 JW3950,RNA polymerase beta chain family
P0A8V6,fadR oleR thdB b1187 JW1176,
P0A8W0,nanR yhcK b3226 JW3195,NanR family
P0A8X0,darP yjgA b4234 JW4193,DarP family
P0A8Y1,yjjG b4374 JW4336,"HAD-like hydrolase superfamily, YjjG family"
P0A8Y3,yihX b3885 JW5566,"HAD-like hydrolase superfamily, YihX family"
